Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,date,country
1,0.23,Ideal,E,SI2,61.5,55.0,326.0,3.95,3.98,2.43,,Guinea
2,0.21,Premium,E,SI1,59.8,61.0,326.0,3.89,3.84,2.31,2022-09-25,Macedonia
3,0.23,Good,E,,56.9,65.0,327.0,4.05,4.07,2.31,2110-09-15,Aruba
4,0.29,Premium,I,,62.4,58.0,334.0,4.2,4.23,2.63,2022-09-22,Bhutan
5,0.31,,J,SI2,63.3,58.0,335.0,4.34,4.35,2.75,2022-09-22,St Vincent/Grenadines
6,0.24,Very Good,J,VVS2,62.8,57.0,336.0,3.94,3.96,2.48,2022-09-27,Taiwan
7,0.24,,I,VVS1,62.3,57.0,336.0,3.95,3.98,2.47,2104-06-06,Lithuania
8,0.26,Very Good,H,SI1,61.9,55.0,337.0,4.07,4.11,2.53,2084-07-16,Zambia
9,0.22,Fair,E,VS2,65.1,61.0,337.0,3.87,3.78,2.49,2022-08-30,Sweden
10,0.23,Very Good,H,VS1,59.4,61.0,338.0,4.0,4.05,2.39,2022-08-31,Bahrain
11,0.3,Good,J,SI1,64.0,55.0,339.0,4.25,4.28,2.73,2022-09-25,Kazakhstan
12,0.23,Ideal,J,VS1,62.8,56.0,340.0,3.93,3.9,2.46,2022-09-09,China
13,0.22,Premium,,SI1,60.4,61.0,342.0,3.88,3.84,2.33,2022-09-16,Botswana
14,0.31,Ideal,J,SI2,62.2,54.0,344.0,4.35,4.37,2.71,2022-09-25,Libya
15,0.2,Premium,E,,,62.0,345.0,3.79,3.75,2.27,2022-09-06,Puerto Rico
16,0.32,Premium,E,I1,60.9,58.0,345.0,4.38,4.42,2.68,2022-09-10,Chile
17,0.3,Ideal,I,SI2,62.0,54.0,348.0,4.31,4.34,2.68,2084-01-29,Finland
18,0.3,Good,J,SI1,63.4,54.0,351.0,4.23,4.29,2.7,2022-09-21,New Zealand
19,0.3,Good,J,SI1,63.8,56.0,351.0,4.23,4.26,2.71,2022-09-24,Pitcairn
20,0.3,Very Good,J,SI1,62.7,59.0,351.0,4.21,4.27,2.66,2022-09-17,Cuba
21,0.3,Good,I,SI2,63.3,56.0,351.0,4.26,4.3,2.71,,Marshall Islands
22,0.23,Very Good,E,VS2,63.8,55.0,352.0,3.85,3.92,2.48,2022-09-26,Maldives
23,0.23,Very Good,,VS1,61.0,57.0,353.0,3.94,3.96,2.41,2022-08-30,Iraq
24,0.31,Very Good,J,SI1,59.4,62.0,353.0,4.39,4.43,2.62,2022-09-25,Egypt
25,,Very Good,J,SI1,58.1,62.0,353.0,4.44,4.47,2.59,2022-09-25,Armenia
26,0.23,Very Good,G,VVS2,60.4,58.0,354.0,3.97,4.01,,2022-09-10,Estonia
27,0.24,Premium,I,VS1,62.5,57.0,355.0,3.97,3.94,2.47,2022-09-10,Zaire
28,0.3,Very Good,,VS2,62.2,57.0,357.0,4.28,4.3,2.67,2022-09-07,Mongolia
29,0.23,Very Good,D,VS2,,61.0,357.0,3.96,3.97,2.4,2022-09-28,Liechtenstein
30,0.23,Very Good,F,VS1,60.9,57.0,357.0,3.96,3.99,2.42,2022-09-27,Thailand
31,0.23,Very Good,F,VS1,,57.0,402.0,4.0,4.03,2.41,2022-09-07,Palau
32,0.23,Very Good,F,VS1,59.8,57.0,402.0,4.04,,2.42,2022-09-17,Turkey
33,0.23,Very Good,E,VS1,60.7,59.0,402.0,3.97,4.01,2.42,2022-09-18,Togo
34,0.23,Very Good,E,VS1,59.5,58.0,,4.01,4.06,2.4,2022-09-03,Azerbaijan
35,0.23,Very Good,D,VS1,61.9,,402.0,3.92,3.96,2.44,2022-09-24,Poland
36,0.23,Good,F,VS1,58.2,59.0,402.0,4.06,4.08,2.37,2022-09-25,United States
37,0.23,Good,E,VS1,64.1,59.0,402.0,3.83,3.85,2.46,2022-09-23,Moldova
38,0.31,Good,H,SI1,64.0,54.0,402.0,4.29,4.31,2.75,2022-09-15,Kuwait
39,0.26,Very Good,D,VS2,60.8,59.0,403.0,4.13,4.16,2.52,2022-09-13,Maldives
40,0.33,Ideal,I,SI2,61.8,55.0,,4.49,4.51,2.78,2022-09-08,East Timor
41,0.33,Ideal,I,SI2,61.2,56.0,403.0,4.49,4.5,2.75,2022-09-20,Hungary
42,0.33,Ideal,J,SI1,61.1,56.0,403.0,4.49,4.55,2.76,2022-09-26,Libya
43,0.26,Good,D,VS2,65.2,56.0,,3.99,4.02,2.61,2022-09-13,Czech Republic
44,0.26,Good,D,VS1,58.4,63.0,403.0,4.19,4.24,2.46,2022-09-21,Netherlands Antilles
45,0.32,Good,H,SI2,63.1,56.0,403.0,4.34,,2.75,2022-09-24,Cuba
46,0.29,Premium,,SI1,62.4,58.0,403.0,4.24,4.26,2.65,2022-09-02,Marshall Islands
47,0.32,Very Good,H,SI2,61.8,,403.0,4.35,4.42,2.71,2022-09-06,Bahamas
48,0.32,Good,H,SI2,63.8,56.0,403.0,4.36,4.38,2.79,,Bermuda
49,0.25,Very Good,E,VS2,,60.0,404.0,4.0,4.03,2.54,2022-08-30,France
